,,,,,,,,,
,3 PLATOS PRINCIPALES,,,,PUEDES ESCOGER 3 OPCIÓN DE ESTOS  PLATOS PRINCIPALES ,,,,
,KIBBE FRITO,2UND,,,,,,,
,MINI KIBBE FRITO,4UND,,,,,,,
,KIBBE HORNEADO,75GR,,,,,,,
,KIBBE CRUDO,75GR,,,,,,,
,FALAFEL,3 UND,,,,,,,
,PINCHOS CARNE/POLLO/MIXTO Y KAFTA,1 UND (VARA),,,,,,,
,ARROZ CON POLLO LIBANÉS,75GR,,,,,,,
,TABAQUITOS ,3UND,,,,,,,
,ACOMPAÑANTES,,,,,,,,
,CREMA HUMMUS,75GR,,,PUEDES ESCOGER 2 OPCIONES DE CREMAS ,,,,
,CREMA HUMMUS ESPECIAL,75GR,,,,,,,
,CREMA BABAGANOUSH,75GR,,,,,,,
,CREMA MUHAMMARA,75GR,,,,,,,
,CREMA DE TAHINI,75GR,,,,,,,
,CREMA LABNEH,75GR,,,,,,,
,CREMA LABAN BI KHIAR,75GR,,,,,,,
,CREMA TOUM,75GR,,,,,,,
,SHANKLISH TRADICIONAL ,75GR,,,PUEDES ESCOGER 1 OPCIÓN DE SHANKLISH PREPARADO,,,,
,SHANKLISH TRADICIONAL PICANTE,75GR,,,,,,,
,SHANKLISH TOMATE SECO,75GR,,,,,,,
,SHANKLISH DE PESTO,75GR,,,,,,,
,SHANKLISH MEREY Y MIEL,75GR,,,,,,,
,TABULE,75GR,,,PUEDES ESCOGER 1 OPCIÓN DE ENSALADA ,,,,
,FATTOUSH,75GR,,,,,,,
,FATULE,75GR,,,,,,,
,,,,,,,,,
,,,,,,,,,
,ARMA TU TABLA (2 PERSONA) ,,,,,,,,
,INGREDIENTES,CANTIDAD ,,,PREPARACIÓN,,,,
,3 PLATOS PRINCIPALES,,,,PUEDES ESCOGER 3 OPCIÓN DE ESTOS  PLATOS PRINCIPALES ,,,,
,KIBBE FRITO,4UND,,,,,,,
,MINI KIBBE FRITO,8UND,,,,,,,
,KIBBE HORNEADO,125GR,,,,,,,
,KIBBE CRUDO,125GR,,,,,,,
,FALAFEL,6 UND,,,,,,,
,PINCHOS CARNE/POLLO/MIXTO Y KAFTA,2 UND (VARA),,,,,,,
,ARROZ CON POLLO LIBANÉS,125GR,,,,,,,
,TABAQUITOS ,6UND,,,,,,,
,ACOMPAÑANTES,,,,,,,,
,CREMA HUMMUS,125GR,,,PUEDES ESCOGER 2 OPCIONES DE CREMAS ,,,,
,CREMA HUMMUS ESPECIAL,125GR,,,,,,,
,CREMA BABAGANOUSH,125GR,,,,,,,
,CREMA MUHAMMARA,125GR,,,,,,,
,CREMA DE TAHINI,125GR,,,,,,,
,CREMA LABNEH,125GR,,,,,,,
,CREMA LABAN BI KHIAR,125GR,,,,,,,
,CREMA TOUM,125GR,,,,,,,
,SHANKLISH TRADICIONAL ,125GR,,,PUEDES ESCOGER 1 OPCIÓN DE SHANKLISH PREPARADO,,,,
,SHANKLISH TRADICIONAL PICANTE,125GR,,,,,,,
,SHANKLISH TOMATE SECO,125GR,,,,,,,
,SHANKLISH DE PESTO,125GR,,,,,,,
,SHANKLISH MEREY Y MIEL,125GR,,,,,,,
,TABULE,125GR,,,PUEDES ESCOGER 1 OPCIÓN DE ENSALADA ,,,,
,FATTOUSH,125GR,,,,,,,
,FATULE,125GR,,,,,,,
,,,,,,,,,
,,,,,,,,,
,ARMA TU TABLA (4 PERSONA) ,,,,,,,,
,INGREDIENTES,CANTIDAD ,,,PREPARACIÓN,,,,
,3 PLATOS PRINCIPALES,,,,PUEDES ESCOGER 3 OPCIÓN DE ESTOS  PLATOS PRINCIPALES ,,,,
,KIBBE FRITO,8UND,,,,,,,
,MINI KIBBE FRITO,16UND,,,,,,,
,KIBBE HORNEADO,250GR,,,,,,,
,KIBBE CRUDO,250GR,,,,,,,
,FALAFEL,12 UND,,,,,,,
,PINCHOS CARNE/POLLO/MIXTO Y KAFTA,4 UND (VARA),,,,,,,
,ARROZ CON POLLO LIBANÉS,250GR,,,,,,,
,TABAQUITOS ,12UND,,,,,,,
,ACOMPAÑANTES,,,,,,,,
,CREMA HUMMUS,200GR,,,PUEDES ESCOGER 4 OPCIONES DE CREMAS ,,,,
,CREMA HUMMUS ESPECIAL,200GR,,,,,,,
,CREMA BABAGANOUSH,200GR,,,,,,,
,CREMA MUHAMMARA,200GR,,,,,,,
,CREMA DE TAHINI,200GR,,,,,,,
,CREMA LABNEH,200GR,,,,,,,
,CREMA LABAN BI KHIAR,200GR,,,,,,,
